date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:21:38	48005/48005	---M-Z	200	added ('OK')	text/html	etag:%22bb85-64948000-3a51fc46286eaf61;gz%22	https://wpriverthemes.com/HTML/drake/index.html	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/index.html	(from )
20:21:40	114/114	---M-Z	200	added ('OK')	text/plain	date:Tue,%2030%20Sep%202025%2014:51:41%20GMT	https://wpriverthemes.com/robots.txt		(from )
20:21:41	2217/2217	---M--	200	added ('OK')	image/png	etag:%228a9-642a65bb-d339273a22452cf2;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/favicon.png	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/images/favicon.png	(from https://wpriverthemes.com/HTML/drake/index.html)
20:21:42	107902/107902	---MCZ	200	added ('OK')	text/css	etag:W/%221a57e-m/ufJj2eAiPapDT36d69nG4R6Hc%22	https://maxst.icons8.com/vue-static/landings/line-awesome/line-awesome/1.3.0/css/line-awesome.min.css	C:/My%20Web%20Sites/Organic_Food/maxst.icons8.com/vue-static/landings/line-awesome/line-awesome/1.3.0/css/line-awesome.min.css	(from https://wpriverthemes.com/HTML/drake/index.html)
20:21:42	155800/155800	---M-Z	200	added ('OK')	text/css	etag:%2226098-642a65be-35e58bc374286d7f;gz%22	https://wpriverthemes.com/HTML/drake/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/css/bootstrap.min.css	(from https://wpriverthemes.com/HTML/drake/index.html)
20:21:44	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%22d17-642a65be-9d75db03038b0bb1;gz%22	https://wpriverthemes.com/HTML/drake/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/css/owl.carousel.min.css	(from https://wpriverthemes.com/HTML/drake/index.html)
20:21:44	1013/1013	---M-Z	200	added ('OK')	text/css	etag:%223f5-642a65be-17ec918a0e7a3a4f;gz%22	https://wpriverthemes.com/HTML/drake/assets/css/owl.theme.default.min.css	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/css/owl.theme.default.min.css	(from https://wpriverthemes.com/HTML/drake/index.html)
20:21:45	57095/57095	---M-Z	200	added ('OK')	text/css	etag:%22df07-642a65be-aea93d8246556cc3;gz%22	https://wpriverthemes.com/HTML/drake/assets/css/animate.min.css	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/css/animate.min.css	(from https://wpriverthemes.com/HTML/drake/index.html)
20:21:45	1717/1717	---M-Z	200	added ('OK')	text/css	etag:%226b5-642a65be-d4b20b4dc9a3a44a;gz%22	https://wpriverthemes.com/HTML/drake/assets/css/smooth-scrollbar.css	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/css/smooth-scrollbar.css	(from https://wpriverthemes.com/HTML/drake/index.html)
20:21:46	2532/2532	---M-Z	200	added ('OK')	text/css	etag:%229e4-642a65bf-aaf433b7173b0f72;gz%22	https://wpriverthemes.com/HTML/drake/assets/css/lightbox.min.css	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/css/lightbox.min.css	(from https://wpriverthemes.com/HTML/drake/index.html)
20:21:46	43777/43777	---M-Z	200	added ('OK')	text/css	etag:%22ab01-649474dd-cec1fdd58136a3aa;gz%22	https://wpriverthemes.com/HTML/drake/assets/css/style.css	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/css/style.css	(from https://wpriverthemes.com/HTML/drake/index.html)
20:21:47	7983/7983	---M-Z	200	added ('OK')	text/css	etag:%221f2f-642a65be-67a35d1c0c72df63;gz%22	https://wpriverthemes.com/HTML/drake/assets/css/responsive.css	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/css/responsive.css	(from https://wpriverthemes.com/HTML/drake/index.html)
20:21:48	48157/48157	---M-Z	200	added ('OK')	text/html	etag:%22bc1d-642a65b6-4a8ffc2e5e6bdfa2;gz%22	https://wpriverthemes.com/HTML/drake/home1.html	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/home1.html	(from https://wpriverthemes.com/HTML/drake/index.html)
20:21:48	48149/48149	---M-Z	200	added ('OK')	text/html	etag:%22bc15-642a65b7-b99e7bf79ecab4d;gz%22	https://wpriverthemes.com/HTML/drake/home2.html	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/home2.html	(from https://wpriverthemes.com/HTML/drake/index.html)
20:21:49	48144/48144	---M-Z	200	added ('OK')	text/html	etag:%22bc10-642a65b6-b7aac6ff7cb50689;gz%22	https://wpriverthemes.com/HTML/drake/home3.html	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/home3.html	(from https://wpriverthemes.com/HTML/drake/index.html)
20:21:49	48144/48144	---M-Z	200	added ('OK')	text/html	etag:%22bc10-642a65b6-d95e8adadc408324;gz%22	https://wpriverthemes.com/HTML/drake/home4.html	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/home4.html	(from https://wpriverthemes.com/HTML/drake/index.html)
20:21:50	48010/48010	---M-Z	200	added ('OK')	text/html	etag:%22bb8a-642a65b7-8d0e49b1003057cf;gz%22	https://wpriverthemes.com/HTML/drake/home6.html	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/home6.html	(from https://wpriverthemes.com/HTML/drake/index.html)
20:21:50	48143/48143	---M-Z	200	added ('OK')	text/html	etag:%22bc0f-642a65b6-2640d890420085ce;gz%22	https://wpriverthemes.com/HTML/drake/home5.html	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/home5.html	(from https://wpriverthemes.com/HTML/drake/index.html)
20:21:51	1060/1060	---M--	200	added ('OK')	image/png	etag:%22424-642a65bc-655536d63551db8f;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/logo.png	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/images/logo.png	(from https://wpriverthemes.com/HTML/drake/index.html)
20:21:53	26050/26050	---M--	200	added ('OK')	image/jpeg	etag:%2265c2-642a65b8-120bb646bc03cafc;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/me.jpg	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/images/me.jpg	(from https://wpriverthemes.com/HTML/drake/index.html)
20:21:53	1504/1504	---M--	200	added ('OK')	image/png	etag:%225e0-642a65b8-54e242a01cd6e9e6;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/round-text.png	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/images/round-text.png	(from https://wpriverthemes.com/HTML/drake/index.html)
20:21:54	1680/1680	---M--	200	added ('OK')	image/png	etag:%22690-642a65ba-b88532299d813e75;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/figma.png	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/images/figma.png	(from https://wpriverthemes.com/HTML/drake/index.html)
20:21:54	784/784	---M--	200	added ('OK')	image/png	etag:%22310-642a65bd-3ff33c3902f887e;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/framer.png	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/images/framer.png	(from https://wpriverthemes.com/HTML/drake/index.html)
20:21:54	1800/1800	---M--	200	added ('OK')	image/png	etag:%22708-642a65b8-4bcb463c2e298b47;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/webflow.png	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/images/webflow.png	(from https://wpriverthemes.com/HTML/drake/index.html)
20:21:55	2722/2722	---M--	200	added ('OK')	image/png	etag:%22aa2-642a65bd-4797e1b856c6894e;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/react.png	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/images/react.png	(from https://wpriverthemes.com/HTML/drake/index.html)
20:21:55	2529/2529	---M--	200	added ('OK')	image/png	etag:%229e1-642a65bc-a6b56ff1929029ed;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/wordpress.png	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/images/wordpress.png	(from https://wpriverthemes.com/HTML/drake/index.html)
20:21:55	2018/2018	---M--	200	added ('OK')	image/png	etag:%227e2-642a65bd-a7208e240e70c18a;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/laravel.png	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/images/laravel.png	(from https://wpriverthemes.com/HTML/drake/index.html)
20:21:58	57103/57103	---M--	200	added ('OK')	image/jpeg	etag:%22df0f-642a65b8-349257031d5e02de;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/portfolio2.jpg	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/images/portfolio2.jpg	(from https://wpriverthemes.com/HTML/drake/index.html)
20:21:58	127885/127885	---M--	200	added ('OK')	image/jpeg	etag:%221f38d-642a65b8-a510c1b37bb264e2;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/portfolio1.jpg	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/images/portfolio1.jpg	(from https://wpriverthemes.com/HTML/drake/index.html)
20:22:02	46613/46613	---M--	200	added ('OK')	image/jpeg	etag:%22b615-642a65b8-e62d045bdcff4af7;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/portfolio3.jpg	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/images/portfolio3.jpg	(from https://wpriverthemes.com/HTML/drake/index.html)
20:22:02	63523/63523	---M--	200	added ('OK')	image/jpeg	etag:%22f823-642a65b8-5930be2eddaac83c;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/portfolio4.jpg	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/images/portfolio4.jpg	(from https://wpriverthemes.com/HTML/drake/index.html)
20:22:03	37537/37537	---M--	200	added ('OK')	image/jpeg	etag:%2292a1-642a65b9-453f51d26f49348;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/portfolio5.jpg	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/images/portfolio5.jpg	(from https://wpriverthemes.com/HTML/drake/index.html)
20:22:03	9749/9749	---M--	200	added ('OK')	image/jpeg	etag:%222615-642a65b9-ff94739ddab37760;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/testimonial-1.jpg	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/images/testimonial-1.jpg	(from https://wpriverthemes.com/HTML/drake/index.html)
20:22:04	10779/10779	---M--	200	added ('OK')	image/jpeg	etag:%222a1b-642a65ba-482a01f6f5771523;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/testimonial-2.jpg	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/images/testimonial-2.jpg	(from https://wpriverthemes.com/HTML/drake/index.html)
20:22:04	11296/11296	---M--	200	added ('OK')	image/jpeg	etag:%222c20-642a65ba-f7a2dda5a6e43370;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/testimonial-3.jpg	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/images/testimonial-3.jpg	(from https://wpriverthemes.com/HTML/drake/index.html)
20:22:04	3043/3043	---M--	200	added ('OK')	image/png	etag:%22be3-642a65b9-55853bf9edbd7540;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/client-1.png	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/images/client-1.png	(from https://wpriverthemes.com/HTML/drake/index.html)
20:22:05	2420/2420	---M--	200	added ('OK')	image/png	etag:%22974-642a65b8-25983ca9c61ade6c;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/client-2.png	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/images/client-2.png	(from https://wpriverthemes.com/HTML/drake/index.html)
20:22:05	2844/2844	---M--	200	added ('OK')	image/png	etag:%22b1c-642a65b8-7d60793e7d7ff328;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/client-3.png	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/images/client-3.png	(from https://wpriverthemes.com/HTML/drake/index.html)
20:22:05	2748/2748	---M--	200	added ('OK')	image/png	etag:%22abc-642a65b8-c670a47cf72472b4;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/client-4.png	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/images/client-4.png	(from https://wpriverthemes.com/HTML/drake/index.html)
20:22:06	2276/2276	---M--	200	added ('OK')	image/png	etag:%228e4-642a65b8-36f1e9676afab8ae;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/client-5.png	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/images/client-5.png	(from https://wpriverthemes.com/HTML/drake/index.html)
20:22:06	3276/3276	---M--	200	added ('OK')	image/png	etag:%22ccc-642a65b8-e00e67783e224952;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/client-6.png	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/images/client-6.png	(from https://wpriverthemes.com/HTML/drake/index.html)
20:22:06	2229/2229	---M--	200	added ('OK')	image/png	etag:%228b5-642a65b8-5aded55d8da8029e;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/client-7.png	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/images/client-7.png	(from https://wpriverthemes.com/HTML/drake/index.html)
20:22:07	3106/3106	---M--	200	added ('OK')	image/png	etag:%22c22-642a65be-bcb7d59932c6bd0e;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/client-8.png	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/images/client-8.png	(from https://wpriverthemes.com/HTML/drake/index.html)
20:22:09	78743/78743	---M-Z	200	added ('OK')	application/x-javascript	etag:%2213397-642a65b7-1f1ce7ca08782bcc;gz%22	https://wpriverthemes.com/HTML/drake/assets/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/js/bootstrap.bundle.min.js	(from https://wpriverthemes.com/HTML/drake/index.html)
20:22:11	257550/257550	---M-Z	200	added ('OK')	application/x-javascript	etag:%223ee0e-642a65b8-3f1202278fe6a927;gz%22	https://wpriverthemes.com/HTML/drake/assets/js/jquery.js	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/js/jquery.js	(from https://wpriverthemes.com/HTML/drake/index.html)
20:22:14	89992/89992	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215f88-642a65b7-62a89e6e10af4ccd;gz%22	https://wpriverthemes.com/HTML/drake/assets/js/owl.carousel.js	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/js/owl.carousel.js	(from https://wpriverthemes.com/HTML/drake/index.html)
20:22:18	60533/60533	---M-Z	200	added ('OK')	application/x-javascript	etag:%22ec75-642a65b7-5040255801d4deb6;gz%22	https://wpriverthemes.com/HTML/drake/assets/js/gsap.min.js	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/js/gsap.min.js	(from https://wpriverthemes.com/HTML/drake/index.html)
20:22:21	40791/40791	---M-Z	200	added ('OK')	application/x-javascript	etag:%229f57-642a65b7-dd80731641afad07;gz%22	https://wpriverthemes.com/HTML/drake/assets/js/ScrollTrigger.min.js	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/js/ScrollTrigger.min.js	(from https://wpriverthemes.com/HTML/drake/index.html)
20:22:24	3202/3202	---M-Z	200	added ('OK')	application/x-javascript	etag:%22c82-642a65b7-feb8f4468dcbc832;gz%22	https://wpriverthemes.com/HTML/drake/assets/js/ScrollToPlugin.min.js	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/js/ScrollToPlugin.min.js	(from https://wpriverthemes.com/HTML/drake/index.html)
20:22:25	9483/9483	---M-Z	200	added ('OK')	application/x-javascript	etag:%22250b-642a65b7-f6a197833799528c;gz%22	https://wpriverthemes.com/HTML/drake/assets/js/lightbox.min.js	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/js/lightbox.min.js	(from https://wpriverthemes.com/HTML/drake/index.html)
20:22:25	9187/9187	---M-Z	200	added ('OK')	application/x-javascript	etag:%2223e3-642a65b7-e3d85130164fb9cd;gz%22	https://wpriverthemes.com/HTML/drake/assets/js/main.js	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/js/main.js	(from https://wpriverthemes.com/HTML/drake/index.html)
20:22:25	2256/2256	---M-Z	200	added ('OK')	application/x-javascript	etag:%228d0-642a65b7-195cff003c71790f;gz%22	https://wpriverthemes.com/HTML/drake/assets/js/ajax-form.js	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/js/ajax-form.js	(from https://wpriverthemes.com/HTML/drake/index.html)
20:22:26	802/802	---M-Z	200	added ('OK')	application/x-javascript	etag:%22322-642a65b7-187f3469694e9a10;gz%22	https://wpriverthemes.com/HTML/drake/assets/js/color.js	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/js/color.js	(from https://wpriverthemes.com/HTML/drake/index.html)
20:22:38	176969/176969	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Sep%202025%2014:52:34%20GMT	https://wpriverthemes.com/HTML/drake/assets/css/owl.video.play.png	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/css/owl.video.play.35.delayed	(from https://wpriverthemes.com/HTML/drake/assets/css/owl.carousel.min.css)
20:22:39	8476/8476	---M--	200	added ('OK')	image/gif	etag:%22211c-642a65b9-bf66b96f6e5e0027;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/loading.gif	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/images/loading.gif	(from https://wpriverthemes.com/HTML/drake/assets/css/lightbox.min.css)
20:22:46	492394/492394	---M--	200	added ('OK')	image/png	etag:%227836a-642a65be-7feaa913413e42b;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/bg-shape.png	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/images/bg-shape.png	(from https://wpriverthemes.com/HTML/drake/assets/css/style.css)
20:24:07	1862089/1862089	---M--	200	added ('OK')	video/mp4	etag:%221c69c9-642a65bc-d03ddd95efe82d3;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/video3.mp4	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/images/video3.mp4	(from https://wpriverthemes.com/HTML/drake/home3.html)
20:26:40	4796720/4796720	---M--	200	added ('OK')	video/mp4	etag:%22493130-642a65bd-6789f0b79869ccf;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/video1.mp4	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/images/video1.mp4	(from https://wpriverthemes.com/HTML/drake/home1.html)
20:28:42	9143480/9143480	---M--	200	added ('OK')	video/mp4	etag:%228b84b8-642a65c1-76f27a266e963e60;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/video2.mp4	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/images/video2.mp4	(from https://wpriverthemes.com/HTML/drake/home2.html)
20:29:06	13162617/13162617	---M--	200	added ('OK')	video/mp4	etag:%22c8d879-642a65c2-8e08688b5768c4b4;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/video4.mp4	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/images/video4.mp4	(from https://wpriverthemes.com/HTML/drake/home4.html)
20:29:14	752374/752374	---M--	200	added ('OK')	video/mp4	etag:%22b7af6-642a65ba-686d584080c2975e;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/video5.mp4	C:/My%20Web%20Sites/Organic_Food/wpriverthemes.com/HTML/drake/assets/images/video5.mp4	(from https://wpriverthemes.com/HTML/drake/home5.html)
